transaction_id,retailer,retailer_id,invoice_date,product,price_per_unit,units_sold,total_sales,sales_method
62,Kohl's,1189833,3/21/2021,Women's Street Footwear,45,650,292500,Outlet
63,Kohl's,1189833,3/22/2021,Women's Athletic Footwear,45,550,247500,Outlet
64,Kohl's,1189833,3/23/2021,Men's Apparel,50,425,212500,Outlet
65,Kohl's,1189833,4/6/2021,Women's Apparel,45,625,281250,Outlet
66,Kohl's,1189833,4/7/2021,Men's Street Footwear,45,800,360000,Outlet
67,Kohl's,1189833,4/8/2021,Men's Athletic Footwear,50,600,300000,Outlet
68,Kohl's,1189833,4/9/2021,Women's Street Footwear,50,625,312500,Outlet
69,Kohl's,1189833,4/10/2021,Women's Athletic Footwear,45,525,236250,Outlet
70,Kohl's,1189833,4/11/2021,Men's Apparel,50,425,212500,Outlet
71,Kohl's,1189833,4/12/2021,Women's Apparel,65,600,390000,Outlet
72,Kohl's,1189833,4/13/2021,Men's Street Footwear,45,800,360000,Outlet
73,Kohl's,1189833,4/14/2021,Men's Athletic Footwear,50,650,325000,Outlet
74,Kohl's,1189833,4/15/2021,Women's Street Footwear,50,650,325000,Outlet
75,Kohl's,1189833,4/16/2021,Women's Athletic Footwear,45,550,247500,Outlet
76,Kohl's,1189833,4/17/2021,Men's Apparel,50,450,225000,Outlet
77,Kohl's,1189833,4/18/2021,Women's Apparel,65,625,406250,Outlet
78,Kohl's,1189833,4/19/2021,Men's Street Footwear,45,900,405000,Outlet
79,Kohl's,1189833,4/20/2021,Men's Athletic Footwear,50,750,375000,Outlet
80,Kohl's,1189833,4/21/2021,Women's Street Footwear,50,750,375000,Outlet
81,Kohl's,1189833,4/22/2021,Women's Athletic Footwear,45,625,281250,Outlet
82,Kohl's,1189833,4/23/2021,Men's Apparel,50,500,250000,Outlet
83,Kohl's,1189833,4/24/2021,Women's Apparel,65,800,520000,Outlet
84,Kohl's,1189833,4/25/2021,Men's Street Footwear,45,950,427500,Outlet
85,Kohl's,1189833,4/26/2021,Men's Athletic Footwear,50,800,400000,Outlet
86,Kohl's,1189833,4/27/2021,Women's Street Footwear,50,750,375000,Outlet
87,Kohl's,1189833,4/28/2021,Women's Athletic Footwear,45,650,292500,Outlet
88,Kohl's,1189833,4/29/2021,Men's Apparel,50,700,350000,Outlet
89,Kohl's,1189833,4/30/2021,Women's Apparel,65,700,455000,Outlet
90,Kohl's,1189833,5/1/2021,Men's Street Footwear,50,900,450000,Outlet
91,Kohl's,1189833,5/2/2021,Men's Athletic Footwear,55,850,467500,Outlet
92,Kohl's,1189833,5/3/2021,Women's Street Footwear,50,725,362500,Outlet
93,Kohl's,1189833,5/4/2021,Women's Athletic Footwear,50,675,337500,Outlet
94,Kohl's,1189833,5/5/2021,Men's Apparel,60,675,405000,Outlet
95,Kohl's,1189833,5/6/2021,Women's Apparel,65,650,422500,Outlet
96,Kohl's,1189833,5/7/2021,Men's Street Footwear,50,850,425000,Outlet
97,Kohl's,1189833,5/8/2021,Men's Athletic Footwear,55,850,467500,Outlet
98,Kohl's,1189833,5/9/2021,Women's Street Footwear,50,700,350000,Outlet
99,Kohl's,1189833,5/10/2021,Women's Athletic Footwear,50,650,325000,Outlet
100,Kohl's,1189833,5/11/2021,Men's Apparel,60,650,390000,Outlet
101,Kohl's,1189833,5/12/2021,Women's Apparel,65,700,455000,Outlet
102,Kohl's,1189833,5/13/2021,Men's Street Footwear,50,800,400000,Outlet
103,Kohl's,1189833,5/14/2021,Men's Athletic Footwear,55,800,440000,Outlet
104,Kohl's,1189833,5/15/2021,Women's Street Footwear,50,650,325000,Outlet
105,Kohl's,1189833,5/16/2021,Women's Athletic Footwear,50,625,312500,Outlet
106,Kohl's,1189833,5/17/2021,Men's Apparel,60,600,360000,Outlet
107,Kohl's,1189833,5/18/2021,Women's Apparel,65,650,422500,Outlet
108,Kohl's,1189833,5/19/2021,Men's Street Footwear,50,825,412500,Outlet
109,Kohl's,1189833,5/20/2021,Men's Athletic Footwear,55,825,453750,Outlet
110,Kohl's,1189833,5/21/2021,Women's Street Footwear,50,675,337500,Outlet
111,Kohl's,1189833,5/22/2021,Women's Athletic Footwear,50,650,325000,Outlet
112,Kohl's,1189833,5/23/2021,Men's Apparel,60,600,360000,Outlet
113,Kohl's,1189833,5/24/2021,Women's Apparel,65,700,455000,Outlet
114,Kohl's,1189833,5/25/2021,Men's Street Footwear,50,900,450000,Outlet
115,Kohl's,1189833,5/26/2021,Men's Athletic Footwear,55,900,495000,Outlet
116,Kohl's,1189833,5/27/2021,Women's Street Footwear,50,700,350000,Outlet
117,Kohl's,1189833,5/28/2021,Women's Athletic Footwear,50,700,350000,Outlet
118,Kohl's,1189833,5/29/2021,Men's Apparel,60,625,375000,Outlet
119,Kohl's,1189833,5/30/2021,Women's Apparel,65,725,471250,Outlet
120,Foot Locker,1185732,5/31/2021,Men's Street Footwear,45,475,213750,Outlet
121,Foot Locker,1185732,6/1/2021,Men's Athletic Footwear,45,275,123750,Outlet
122,Foot Locker,1185732,6/2/2021,Women's Street Footwear,35,275,96250,Outlet
123,Foot Locker,1185732,6/3/2021,Women's Athletic Footwear,40,125,50000,Outlet
124,Foot Locker,1185732,6/4/2021,Men's Apparel,55,175,96250,Outlet
125,Foot Locker,1185732,6/5/2021,Women's Apparel,45,275,123750,Outlet
126,Foot Locker,1185732,6/6/2021,Men's Street Footwear,45,525,236250,Outlet
127,Foot Locker,1185732,6/7/2021,Men's Athletic Footwear,45,175,78750,Outlet
128,Foot Locker,1185732,6/8/2021,Women's Street Footwear,35,225,78750,Outlet
129,Foot Locker,1185732,6/9/2021,Women's Athletic Footwear,40,100,40000,Outlet
130,Foot Locker,1185732,6/10/2021,Men's Apparel,55,175,96250,Outlet
131,Foot Locker,1185732,6/11/2021,Women's Apparel,45,275,123750,Outlet
132,Foot Locker,1185732,6/12/2021,Men's Street Footwear,50,495,247500,Outlet
133,Foot Locker,1185732,6/13/2021,Men's Athletic Footwear,50,200,100000,Outlet
134,Foot Locker,1185732,6/14/2021,Women's Street Footwear,40,225,90000,Outlet
135,Foot Locker,1185732,6/15/2021,Women's Athletic Footwear,45,75,33750,Outlet
136,Foot Locker,1185732,6/16/2021,Men's Apparel,60,125,75000,Outlet
137,Foot Locker,1185732,6/17/2021,Women's Apparel,50,225,112500,Outlet
138,Foot Locker,1185732,6/18/2021,Men's Street Footwear,50,450,225000,Outlet
139,Foot Locker,1185732,6/19/2021,Men's Athletic Footwear,50,150,75000,Outlet
140,Foot Locker,1185732,6/20/2021,Women's Street Footwear,40,150,60000,Outlet
141,Foot Locker,1185732,6/21/2021,Women's Athletic Footwear,45,75,33750,Outlet
142,Foot Locker,1185732,6/22/2021,Men's Apparel,60,100,60000,Outlet
143,Foot Locker,1185732,6/23/2021,Women's Apparel,50,225,112500,Outlet
144,Foot Locker,1185732,6/24/2021,Men's Street Footwear,60,495,297000,Outlet
145,Foot Locker,1185732,6/25/2021,Men's Athletic Footwear,55,200,110000,Outlet
146,Foot Locker,1185732,6/26/2021,Women's Street Footwear,50,175,87500,Outlet
147,Foot Locker,1185732,6/27/2021,Women's Athletic Footwear,50,100,50000,Outlet
148,Foot Locker,1185732,6/28/2021,Men's Apparel,60,125,75000,Outlet
149,Foot Locker,1185732,6/29/2021,Women's Apparel,65,250,162500,Outlet
150,Foot Locker,1185732,6/30/2021,Men's Street Footwear,50,500,250000,Outlet
151,Foot Locker,1185732,7/1/2021,Men's Athletic Footwear,45,250,112500,Outlet
152,Foot Locker,1185732,7/2/2021,Women's Street Footwear,40,200,80000,Outlet
153,Foot Locker,1185732,7/3/2021,Women's Athletic Footwear,40,175,70000,Outlet
154,Foot Locker,1185732,7/4/2021,Men's Apparel,50,175,87500,Outlet
155,Foot Locker,1185732,7/5/2021,Women's Apparel,55,350,192500,Outlet
156,Foot Locker,1185732,7/6/2021,Men's Street Footwear,50,575,287500,Outlet
157,Foot Locker,1185732,7/7/2021,Men's Athletic Footwear,45,325,146250,Outlet
158,Foot Locker,1185732,7/8/2021,Women's Street Footwear,40,250,100000,Outlet
159,Foot Locker,1185732,7/9/2021,Women's Athletic Footwear,40,200,80000,Outlet
160,Foot Locker,1185732,7/10/2021,Men's Apparel,50,225,112500,Outlet
161,Foot Locker,1185732,7/11/2021,Women's Apparel,55,400,220000,Outlet
162,Foot Locker,1185732,7/12/2021,Men's Street Footwear,50,550,275000,Outlet
163,Foot Locker,1185732,7/13/2021,Men's Athletic Footwear,45,325,146250,Outlet
164,Foot Locker,1185732,7/14/2021,Women's Street Footwear,40,250,100000,Outlet
165,Foot Locker,1185732,7/15/2021,Women's Athletic Footwear,40,225,90000,Outlet
166,Foot Locker,1185732,7/16/2021,Men's Apparel,50,200,100000,Outlet
167,Foot Locker,1185732,7/17/2021,Women's Apparel,55,375,206250,Outlet
168,Foot Locker,1185732,7/18/2021,Men's Street Footwear,50,500,250000,Outlet
169,Foot Locker,1185732,7/19/2021,Men's Athletic Footwear,45,300,135000,Outlet
170,Foot Locker,1185732,7/20/2021,Women's Street Footwear,40,200,80000,Outlet
171,Foot Locker,1185732,7/21/2021,Women's Athletic Footwear,40,175,70000,Outlet
172,Foot Locker,1185732,7/22/2021,Men's Apparel,50,175,87500,Outlet
173,Foot Locker,1185732,7/23/2021,Women's Apparel,55,250,137500,Outlet
174,Foot Locker,1185732,7/24/2021,Men's Street Footwear,60,425,255000,Outlet
175,Foot Locker,1185732,7/25/2021,Men's Athletic Footwear,50,250,125000,Outlet
176,Foot Locker,1185732,7/26/2021,Women's Street Footwear,50,150,75000,Outlet
177,Foot Locker,1185732,7/27/2021,Women's Athletic Footwear,50,125,62500,Outlet
178,Foot Locker,1185732,7/28/2021,Men's Apparel,60,125,75000,Outlet
179,Foot Locker,1185732,7/29/2021,Women's Apparel,65,250,162500,Outlet
180,Foot Locker,1185732,7/30/2021,Men's Street Footwear,60,400,240000,Outlet
181,Foot Locker,1185732,7/31/2021,Men's Athletic Footwear,50,250,125000,Outlet
182,Foot Locker,1185732,8/1/2021,Women's Street Footwear,50,195,97500,Outlet
183,Foot Locker,1185732,8/2/2021,Women's Athletic Footwear,50,175,87500,Outlet
184,Foot Locker,1185732,8/3/2021,Men's Apparel,60,150,90000,Outlet
185,Foot Locker,1185732,8/4/2021,Women's Apparel,65,250,162500,Outlet
186,Foot Locker,1185732,8/5/2021,Men's Street Footwear,60,500,300000,Outlet
187,Foot Locker,1185732,8/6/2021,Men's Athletic Footwear,50,300,150000,Outlet
188,Foot Locker,1185732,8/7/2021,Women's Street Footwear,50,250,125000,Outlet
189,Foot Locker,1185732,8/8/2021,Women's Athletic Footwear,50,200,100000,Outlet
190,Foot Locker,1185732,8/9/2021,Men's Apparel,60,200,120000,Outlet
191,Foot Locker,1185732,8/10/2021,Women's Apparel,65,300,195000,Outlet
192,Sports Direct,1197831,8/11/2021,Men's Street Footwear,20,725,145000,Outlet
193,Sports Direct,1197831,8/12/2021,Men's Athletic Footwear,30,725,217500,Outlet
194,Sports Direct,1197831,8/13/2021,Women's Street Footwear,30,525,157500,Outlet
195,Sports Direct,1197831,8/14/2021,Women's Athletic Footwear,35,525,183750,Outlet
196,Sports Direct,1197831,8/15/2021,Men's Apparel,40,375,150000,Outlet
197,Sports Direct,1197831,8/16/2021,Women's Apparel,35,525,183750,Outlet
198,Sports Direct,1197831,8/17/2021,Men's Street Footwear,25,675,168750,Outlet
199,Sports Direct,1197831,8/18/2021,Men's Athletic Footwear,35,650,227500,Outlet
200,Sports Direct,1197831,8/19/2021,Women's Street Footwear,35,475,166250,Outlet
201,Sports Direct,1197831,8/20/2021,Women's Athletic Footwear,35,425,148750,Outlet
202,Sports Direct,1197831,8/21/2021,Men's Apparel,40,300,120000,Outlet
203,Sports Direct,1197831,8/22/2021,Women's Apparel,35,500,175000,Outlet
204,Sports Direct,1197831,8/23/2021,Men's Street Footwear,30,675,202500,Outlet
205,Sports Direct,1197831,8/24/2021,Men's Athletic Footwear,40,675,270000,Outlet
206,Sports Direct,1197831,8/25/2021,Women's Street Footwear,30,500,150000,Outlet
207,Sports Direct,1197831,8/26/2021,Women's Athletic Footwear,35,400,140000,Outlet
208,Sports Direct,1197831,8/27/2021,Men's Apparel,40,300,120000,Outlet
209,Sports Direct,1197831,8/28/2021,Women's Apparel,35,450,157500,Outlet
210,Sports Direct,1197831,8/29/2021,Men's Street Footwear,20,700,140000,Outlet
211,Sports Direct,1197831,8/30/2021,Men's Athletic Footwear,30,700,210000,Outlet
212,Sports Direct,1197831,8/31/2021,Women's Street Footwear,25,525,131250,Outlet
213,Sports Direct,1197831,9/1/2021,Women's Athletic Footwear,30,425,127500,Outlet
214,Sports Direct,1197831,9/2/2021,Men's Apparel,35,325,113750,Outlet
215,Sports Direct,1197831,9/3/2021,Women's Apparel,30,600,180000,Outlet
216,Sports Direct,1197831,9/4/2021,Men's Street Footwear,20,750,150000,Outlet
217,Sports Direct,1197831,9/5/2021,Men's Athletic Footwear,30,775,232500,Outlet
218,Sports Direct,1197831,9/6/2021,Women's Street Footwear,25,625,156250,Outlet
219,Sports Direct,1197831,9/7/2021,Women's Athletic Footwear,35,550,192500,Outlet
220,Sports Direct,1197831,9/8/2021,Men's Apparel,50,450,225000,Outlet
221,Sports Direct,1197831,9/9/2021,Women's Apparel,45,800,360000,Outlet
222,Sports Direct,1197831,9/10/2021,Men's Street Footwear,45,800,360000,Outlet
223,Sports Direct,1197831,9/11/2021,Men's Athletic Footwear,50,800,400000,Outlet
224,Sports Direct,1197831,9/12/2021,Women's Street Footwear,45,650,292500,Outlet
225,Sports Direct,1197831,9/13/2021,Women's Athletic Footwear,45,600,270000,Outlet
226,Sports Direct,1197831,9/14/2021,Men's Apparel,50,500,250000,Outlet
227,Sports Direct,1197831,9/15/2021,Women's Apparel,55,875,481250,Outlet
228,Sports Direct,1197831,9/16/2021,Men's Street Footwear,45,825,371250,Outlet
229,Sports Direct,1197831,9/17/2021,Men's Athletic Footwear,50,825,412500,Outlet
230,Sports Direct,1197831,9/18/2021,Women's Street Footwear,45,975,438750,Outlet
231,Sports Direct,1197831,9/19/2021,Women's Athletic Footwear,45,575,258750,Outlet
232,Sports Direct,1197831,9/20/2021,Men's Apparel,50,575,287500,Outlet
233,Sports Direct,1197831,9/21/2021,Women's Apparel,60,850,510000,Outlet
234,Sports Direct,1197831,9/22/2021,Men's Street Footwear,50,800,400000,Outlet
235,Sports Direct,1197831,9/23/2021,Men's Athletic Footwear,55,800,440000,Outlet
236,Sports Direct,1197831,9/24/2021,Women's Street Footwear,50,975,487500,Outlet
237,Sports Direct,1197831,9/25/2021,Women's Athletic Footwear,50,525,262500,Outlet
238,Sports Direct,1197831,9/26/2021,Men's Apparel,55,525,288750,Outlet
239,Sports Direct,1197831,9/27/2021,Women's Apparel,60,775,465000,Outlet
240,Sports Direct,1197831,9/28/2021,Men's Street Footwear,55,725,398750,Outlet
241,Sports Direct,1197831,9/29/2021,Men's Athletic Footwear,55,675,371250,Outlet
242,Sports Direct,1197831,9/30/2021,Women's Street Footwear,60,725,435000,Outlet
243,Sports Direct,1197831,10/1/2021,Women's Athletic Footwear,60,450,270000,Outlet
244,Sports Direct,1197831,10/2/2021,Men's Apparel,55,450,247500,Outlet
245,Sports Direct,1197831,10/3/2021,Women's Apparel,50,675,337500,Outlet
246,Sports Direct,1197831,10/4/2021,Men's Street Footwear,40,625,250000,Outlet
247,Sports Direct,1197831,10/5/2021,Men's Athletic Footwear,40,625,250000,Outlet
248,Sports Direct,1197831,10/6/2021,Women's Street Footwear,45,575,258750,Outlet
249,Sports Direct,1197831,10/7/2021,Women's Athletic Footwear,45,425,191250,Outlet
250,Sports Direct,1197831,10/8/2021,Men's Apparel,40,400,160000,Outlet
251,Sports Direct,1197831,10/9/2021,Women's Apparel,50,575,287500,Outlet
252,Sports Direct,1197831,10/10/2021,Men's Street Footwear,40,725,290000,Outlet
253,Sports Direct,1197831,10/11/2021,Men's Athletic Footwear,40,725,290000,Outlet
254,Sports Direct,1197831,10/12/2021,Women's Street Footwear,65,650,422500,Outlet
255,Sports Direct,1197831,10/13/2021,Women's Athletic Footwear,65,500,325000,Outlet
256,Sports Direct,1197831,10/14/2021,Men's Apparel,60,475,285000,Outlet
257,Sports Direct,1197831,10/15/2021,Women's Apparel,70,675,472500,Outlet
258,Sports Direct,1197831,10/16/2021,Men's Street Footwear,60,825,495000,Outlet
259,Sports Direct,1197831,10/17/2021,Men's Athletic Footwear,60,825,495000,Outlet
260,Sports Direct,1197831,10/18/2021,Women's Street Footwear,65,725,471250,Outlet
261,Sports Direct,1197831,10/19/2021,Women's Athletic Footwear,65,575,373750,Outlet
262,Sports Direct,1197831,10/20/2021,Men's Apparel,60,525,315000,Outlet
263,Sports Direct,1197831,10/21/2021,Women's Apparel,70,775,542500,Outlet
264,Foot Locker,1185732,10/22/2021,Men's Street Footwear,45,425,191250,Outlet
265,Foot Locker,1185732,10/23/2021,Men's Athletic Footwear,45,225,101250,Outlet
266,Foot Locker,1185732,10/24/2021,Women's Street Footwear,35,225,78750,Outlet
267,Foot Locker,1185732,10/25/2021,Women's Athletic Footwear,40,75,30000,Outlet
268,Foot Locker,1185732,10/26/2021,Men's Apparel,55,125,68750,Outlet
269,Foot Locker,1185732,10/27/2021,Women's Apparel,45,225,101250,Outlet
270,Foot Locker,1185732,10/28/2021,Men's Street Footwear,45,475,213750,Outlet
271,Foot Locker,1185732,10/29/2021,Men's Athletic Footwear,45,125,56250,Outlet
272,Foot Locker,1185732,10/30/2021,Women's Street Footwear,35,175,61250,Outlet
273,Foot Locker,1185732,10/31/2021,Women's Athletic Footwear,40,50,20000,Outlet
274,Foot Locker,1185732,11/1/2021,Men's Apparel,55,125,68750,Outlet
275,Foot Locker,1185732,11/2/2021,Women's Apparel,45,225,101250,Outlet
276,Foot Locker,1185732,11/3/2021,Men's Street Footwear,50,445,222500,Outlet
277,Foot Locker,1185732,11/4/2021,Men's Athletic Footwear,50,150,75000,Outlet
278,Foot Locker,1185732,11/5/2021,Women's Street Footwear,40,175,70000,Outlet
279,Foot Locker,1185732,11/6/2021,Women's Athletic Footwear,45,25,11250,Outlet
280,Foot Locker,1185732,11/7/2021,Men's Apparel,60,75,45000,Outlet
281,Foot Locker,1185732,11/8/2021,Women's Apparel,50,175,87500,Outlet
282,Foot Locker,1185732,11/9/2021,Men's Street Footwear,50,450,225000,Outlet
283,Foot Locker,1185732,11/10/2021,Men's Athletic Footwear,50,150,75000,Outlet
284,Foot Locker,1185732,11/11/2021,Women's Street Footwear,40,150,60000,Outlet
285,Foot Locker,1185732,11/12/2021,Women's Athletic Footwear,45,75,33750,Outlet
286,Foot Locker,1185732,11/13/2021,Men's Apparel,60,75,45000,Outlet
287,Foot Locker,1185732,11/14/2021,Women's Apparel,50,200,100000,Outlet
288,Foot Locker,1185732,11/15/2021,Men's Street Footwear,60,470,282000,Outlet
289,Foot Locker,1185732,11/16/2021,Men's Athletic Footwear,60,175,105000,Outlet
290,Foot Locker,1185732,11/17/2021,Women's Street Footwear,55,150,82500,Outlet
291,Foot Locker,1185732,11/18/2021,Women's Athletic Footwear,55,100,55000,Outlet
292,Foot Locker,1185732,11/19/2021,Men's Apparel,65,125,81250,Outlet
293,Foot Locker,1185732,11/20/2021,Women's Apparel,70,250,175000,Outlet
294,Foot Locker,1185732,11/21/2021,Men's Street Footwear,65,500,325000,Outlet
295,Foot Locker,1185732,11/22/2021,Men's Athletic Footwear,60,250,150000,Outlet
296,Foot Locker,1185732,11/23/2021,Women's Street Footwear,55,175,96250,Outlet
297,Foot Locker,1185732,11/24/2021,Women's Athletic Footwear,55,150,82500,Outlet
298,Foot Locker,1185732,11/25/2021,Men's Apparel,65,150,97500,Outlet
299,Foot Locker,1185732,11/26/2021,Women's Apparel,70,300,210000,Outlet
300,Foot Locker,1185732,11/27/2021,Men's Street Footwear,65,500,325000,Outlet
301,Foot Locker,1185732,11/28/2021,Men's Athletic Footwear,60,300,180000,Outlet
302,Foot Locker,1185732,11/29/2021,Women's Street Footwear,55,225,123750,Outlet
303,Foot Locker,1185732,11/30/2021,Women's Athletic Footwear,55,175,96250,Outlet
304,Foot Locker,1185732,12/1/2021,Men's Apparel,65,200,130000,Outlet
305,Foot Locker,1185732,12/2/2021,Women's Apparel,70,375,262500,Outlet
306,Foot Locker,1185732,12/3/2021,Men's Street Footwear,65,525,341250,Outlet
307,Foot Locker,1185732,12/4/2021,Men's Athletic Footwear,60,300,180000,Outlet
308,Foot Locker,1185732,12/5/2021,Women's Street Footwear,55,225,123750,Outlet
309,Foot Locker,1185732,12/6/2021,Women's Athletic Footwear,55,200,110000,Outlet
310,Foot Locker,1185732,12/7/2021,Men's Apparel,65,175,113750,Outlet
311,Foot Locker,1185732,12/8/2021,Women's Apparel,70,350,245000,Outlet
312,Foot Locker,1185732,12/9/2021,Men's Street Footwear,65,475,308750,Outlet
313,Foot Locker,1185732,12/10/2021,Men's Athletic Footwear,50,275,137500,Outlet
314,Foot Locker,1185732,12/11/2021,Women's Street Footwear,45,200,90000,Outlet
315,Foot Locker,1185732,12/12/2021,Women's Athletic Footwear,45,175,78750,Outlet
316,Foot Locker,1185732,12/13/2021,Men's Apparel,55,125,68750,Outlet
317,Foot Locker,1185732,12/14/2021,Women's Apparel,60,225,135000,Outlet
318,Foot Locker,1185732,12/15/2021,Men's Street Footwear,60,400,240000,Outlet
319,Foot Locker,1185732,12/16/2021,Men's Athletic Footwear,50,225,112500,Outlet
320,Foot Locker,1185732,12/17/2021,Women's Street Footwear,50,125,62500,Outlet
321,Foot Locker,1185732,12/18/2021,Women's Athletic Footwear,50,100,50000,Outlet
322,Foot Locker,1185732,12/19/2021,Men's Apparel,60,100,60000,Outlet
323,Foot Locker,1185732,12/20/2021,Women's Apparel,65,225,146250,Outlet
324,Foot Locker,1185732,12/21/2021,Men's Street Footwear,70,375,262500,Outlet
325,Foot Locker,1185732,12/22/2021,Men's Athletic Footwear,60,200,120000,Outlet
326,Foot Locker,1185732,12/23/2021,Women's Street Footwear,60,195,117000,Outlet
327,Foot Locker,1185732,12/24/2021,Women's Athletic Footwear,60,175,105000,Outlet
328,Foot Locker,1185732,12/25/2021,Men's Apparel,70,150,105000,Outlet
329,Foot Locker,1185732,12/26/2021,Women's Apparel,75,250,187500,Outlet
330,Foot Locker,1185732,12/27/2021,Men's Street Footwear,70,475,332500,Outlet
331,Foot Locker,1185732,12/28/2021,Men's Athletic Footwear,60,275,165000,Outlet
332,Foot Locker,1185732,12/29/2021,Women's Street Footwear,60,225,135000,Outlet
333,Foot Locker,1185732,12/30/2021,Women's Athletic Footwear,60,175,105000,Outlet
334,Foot Locker,1185732,12/31/2021,Men's Apparel,70,175,122500,Outlet
335,Kohl's,1189833,1/1/2021,Men's Apparel,50,275,137500,Outlet
